City,Total Pawdacity Sales,2010 Census,Land Area,Households with Under 18,Population Density,Total Families
Buffalo,185328,4585,3115.5075,746,1.55,1819.5
Casper,317736,35316,3894.3091,7788,11.16,8756.32
Cheyenne,917892,59466,1500.1784,7158,20.34,14612.64
Cody,218376,9520,2998.95696,1403,1.82,3515.62
Douglas,208008,6120,1829.4651,832,1.46,1744.08
Evanston,283824,12359,999.4971,1486,4.95,2712.64
Gillette,543132,29087,2748.8529,4052,5.8,7189.43
Powell,233928,6314,2673.57455,1251,1.62,3134.18
Riverton,303264,10615,4796.859815,2680,2.34,5556.49
Rock Springs,253584,23036,6620.201916,4022,2.78,7572.18
Sheridan,308232,17444,1893.977048,2646,8.98,6039.71
